image,sigma_s,sigma_r,alpha_r,psnr,ssim,gastal_admm_it,farbman_admm_it,success,tol
kodim01.png,1.0,109.85714285714286,0.95,44.79454863555602,0.9965649818502142,10,10,1,0.001
kodim01.png,1.0,109.85714285714286,1.0,44.99656985578616,0.9967026168114983,10,10,1,0.001
kodim01.png,1.0,128.0,0.5,44.07887927550726,0.9961261710214157,10,10,1,0.001
kodim01.png,1.0,128.0,0.55,44.087188555511325,0.996131712093444,10,10,1,0.001
kodim01.png,1.0,128.0,0.6,44.100148687249785,0.9961400764891915,10,10,1,0.001
kodim01.png,1.0,128.0,0.65,44.12025086479764,0.9961526605566093,10,10,1,0.001
kodim01.png,1.0,128.0,0.7,44.15113991158316,0.9961714738349896,10,10,1,0.001
kodim01.png,1.0,128.0,0.75,44.197874205995916,0.9961992948372433,10,10,1,0.001
kodim01.png,1.0,128.0,0.8,44.26685182617753,0.9962397159070859,10,10,1,0.001
kodim01.png,1.0,128.0,0.8500000000000001,44.364885825998115,0.9962968814524374,10,10,1,0.001
kodim01.png,1.0,128.0,0.9,44.496883688383235,0.9963746783294143,10,10,1,0.001
kodim01.png,1.0,128.0,0.95,44.66234445339383,0.9964753213383203,10,10,1,0.001
kodim01.png,1.0,128.0,1.0,44.85270866608698,0.9965978336412491,10,10,1,0.001
kodim01.png,1.0,146.14285714285714,0.5,44.0755065786025,0.9961236642318576,10,10,1,0.001
kodim01.png,1.0,146.14285714285714,0.55,44.081903415351306,0.9961279291577068,10,10,1,0.001
kodim01.png,1.0,146.14285714285714,0.6,44.09190306442014,0.9961343798082408,10,10,1,0.001
kodim01.png,1.0,146.14285714285714,0.65,44.10747025087076,0.9961441149509371,10,10,1,0.001
